"Andorra","France"
"Andorra","Spain"
"Albania","Greece"
"Albania","Montenegro"
"Albania","North Macedonia"
"Albania","Serbia"
"Armenia","Georgia"
"Armenia","Turkey"
"Austria","Czechia"
"Austria","Germany"
"Austria","Hungary"
"Austria","Italy"
"Austria","Liechtenstein"
"Austria","Slovakia"
"Austria","Slovenia"
"Austria","Switzerland"
"Bosnia and Herzegovina","Croatia"
"Bosnia and Herzegovina","Montenegro"
"Bosnia and Herzegovina","Serbia"
"Belgium","France"
"Belgium","Germany"
"Belgium","Luxembourg"
"Belgium","Netherlands"
"Bulgaria","Greece"
"Bulgaria","North Macedonia"
"Bulgaria","Romania"
"Bulgaria","Serbia"
"Bulgaria","Turkey"
"Belarus","Latvia"
"Belarus","Lithuania"
"Belarus","Poland"
"Belarus","Russian Federation"
"Belarus","Ukraine"
"Switzerland","Austria"
"Switzerland","France"
"Switzerland","Germany"
"Switzerland","Italy"
"Switzerland","Liechtenstein"
"Czechia","Austria"
"Czechia","Germany"
"Czechia","Poland"
"Czechia","Slovakia"
"Germany","Austria"
"Germany","Belgium"
"Germany","Czechia"
"Germany","Denmark"
"Germany","France"
"Germany","Luxembourg"
"Germany","Netherlands"
"Germany","Poland"
"Germany","Switzerland"
"Denmark","Germany"
"Estonia","Latvia"
"Estonia","Russian Federation"
"Spain","Andorra"
"Spain","France"
"Spain","Portugal"
"Finland","Norway"
"Finland","Russian Federation"
"Finland","Sweden"
"France","Andorra"
"France","Belgium"
"France","Germany"
"France","Italy"
"France","Luxembourg"
"France","Monaco"
"France","Spain"
"France","Switzerland"
"United Kingdom of Great Britain and Northern Ireland","Ireland"
"Georgia","Armenia"
"Georgia","Russian Federation"
"Georgia","Turkey"
"Greece","Albania"
"Greece","Bulgaria"
"Greece","North Macedonia"
"Greece","Turkey"
"Croatia","Bosnia and Herzegovina"
"Croatia","Hungary"
"Croatia","Montenegro"
"Croatia","Serbia"
"Croatia","Slovenia"
"Hungary","Austria"
"Hungary","Croatia"
"Hungary","Romania"
"Hungary","Serbia"
"Hungary","Slovakia"
"Hungary","Slovenia"
"Hungary","Ukraine"
"Ireland","United Kingdom of Great Britain and Northern Ireland"
"Italy","Austria"
"Italy","France"
"Italy","San Marino"
"Italy","Slovenia"
"Italy","Switzerland"
"Liechtenstein","Austria"
"Liechtenstein","Switzerland"
"Lithuania","Belarus"
"Lithuania","Latvia"
"Lithuania","Poland"
"Lithuania","Russian Federation"
"Luxembourg","Belgium"
"Luxembourg","Germany"
"Luxembourg","France"
"Latvia","Belarus"
"Latvia","Estonia"
"Latvia","Lithuania"
"Latvia","Russian Federation"
"Monaco","France"
"Moldova (the Republic of)","Romania"
"Moldova (the Republic of)","Ukraine"
"Montenegro","Albania"
"Montenegro","Bosnia and Herzegovina"
"Montenegro","Croatia"
"Montenegro","Serbia"
"North Macedonia","Albania"
"North Macedonia","Bulgaria"
"North Macedonia","Greece"
"North Macedonia","Serbia"
"Netherlands","Belgium"
"Netherlands","Germany"
"Norway","Finland"
"Norway","Russian Federation"
"Norway","Sweden"
"Poland","Belarus"
"Poland","Czechia"
"Poland","Germany"
"Poland","Lithuania"
"Poland","Russian Federation"
"Poland","Slovakia"
"Poland","Ukraine"
"Portugal","Spain"
"Romania","Bulgaria"
"Romania","Hungary"
"Romania","Moldova (the Republic of)"
"Romania","Serbia"
"Romania","Ukraine"
"Serbia","Albania"
"Serbia","Bosnia and Herzegovina"
"Serbia","Bulgaria"
"Serbia","Croatia"
"Serbia","Hungary"
"Serbia","Montenegro"
"Serbia","North Macedonia"
"Serbia","Romania"
"Russian Federation","Belarus"
"Russian Federation","Estonia"
"Russian Federation","Finland"
"Russian Federation","Georgia"
"Russian Federation","Latvia"
"Russian Federation","Lithuania"
"Russian Federation","Norway"
"Russian Federation","Poland"
"Russian Federation","Ukraine"
"Sweden","Finland"
"Sweden","Norway"
"Slovenia","Austria"
"Slovenia","Croatia"
"Slovenia","Hungary"
"Slovenia","Italy"
"Slovakia","Austria"
"Slovakia","Czechia"
"Slovakia","Hungary"
"Slovakia","Poland"
"Slovakia","Ukraine"
"San Marino","Italy"
"Turkey","Armenia"
"Turkey","Bulgaria"
"Turkey","Georgia"
"Turkey","Greece"
"Ukraine","Belarus"
"Ukraine","Hungary"
"Ukraine","Moldova (the Republic of)"
"Ukraine","Poland"
"Ukraine","Romania"
"Ukraine","Russian Federation"
"Ukraine","Slovakia"
"Vatican City","Italy"